Symbol,Date,Open,High,Low,Close,Adj Close,Volume
GME,11/15/2023,13.15,13.5,13.03,13.27,13.27,4121600
GME,11/16/2023,13.14,13.19,12.52,12.53,12.53,3425800
GME,11/17/2023,12.52,13.06,12.52,13.03,13.03,3414200
GME,11/20/2023,13,13.2,12.8,12.8,12.8,2294900
GME,11/21/2023,12.65,12.72,12.26,12.55,12.55,3710100
GME,11/22/2023,12.56,12.71,12.19,12.29,12.29,2358800
GME,11/24/2023,12.22,12.41,12.18,12.2,12.2,1232500
GME,11/27/2023,12.18,12.33,11.89,11.91,11.91,3710600
GME,11/28/2023,11.9,13.55,11.89,13.49,13.49,14192900
GME,11/29/2023,15.49,17.559999,14.7,16.25,16.25,61172800
GME,11/30/2023,16.290001,16.33,14.32,14.55,14.55,16537200
GME,12/1/2023,14.52,15.99,14.5,15.3,15.3,13347300
GME,12/4/2023,15.29,17.41,14.91,16.98,16.98,20098700
GME,12/5/2023,16.469999,16.719999,14.87,14.91,14.91,14220100
GME,12/6/2023,15.36,15.7,14.64,14.84,14.84,12691300
GME,12/7/2023,13.71,16.52,13.56,16.360001,16.360001,19840700
GME,12/8/2023,15.83,16.48,15.47,15.55,15.55,10375400
GME,12/11/2023,15.45,15.69,14.98,15.07,15.07,4961200
GME,12/12/2023,15.12,15.36,14.84,15.22,15.22,4210700
GME,12/13/2023,15.22,16.799999,15.19,16.690001,16.690001,9086900
GME,12/14/2023,17.139999,17.879999,16.799999,17.440001,17.440001,10750700
GME,12/15/2023,17.4,17.58,17.01,17.26,17.26,7110100
GME,12/18/2023,17.24,18.51,17.1,17.860001,17.860001,7352200
GME,12/19/2023,17.889999,18.59,17.23,17.719999,17.719999,5447100
GME,12/20/2023,17.530001,18.379999,16.889999,16.93,16.93,5553000
GME,12/21/2023,17.190001,17.34,16.59,16.98,16.98,3975300
GME,12/22/2023,16.780001,17.200001,16.450001,16.969999,16.969999,3325100
GME,12/26/2023,16.98,17.41,16.82,17.360001,17.360001,3079600
GME,12/27/2023,17.43,18.370001,17.370001,18.370001,18.370001,4800100
GME,12/28/2023,18.049999,18.32,17.85,18.07,18.07,3574800
GME,12/29/2023,18.040001,18.16,17.459999,17.530001,17.530001,4524200
GME,1/2/2024,17.25,17.6,16.58,16.67,16.67,4428000
GME,1/3/2024,16.299999,16.83,15.9,16.690001,16.690001,4193600
GME,1/4/2024,16.51,16.75,16.309999,16.360001,16.360001,2671500
GME,1/5/2024,16.16,16.52,15.96,15.96,15.96,2615700
GME,1/8/2024,15.78,16.120001,15.7,15.79,15.79,3031100
GME,1/9/2024,15.59,15.62,15.12,15.16,15.16,3105300
GME,1/10/2024,15.12,15.76,14.97,15.73,15.73,3191700
GME,1/11/2024,15.65,15.8,15.24,15.25,15.25,2992200
GME,1/12/2024,15.3,15.62,14.73,14.75,14.75,2475500
GME,1/16/2024,14.6,14.62,13.93,13.98,13.98,3581200
GME,1/17/2024,13.86,14.11,13.71,14.08,14.08,2706200
GME,1/18/2024,14.2,14.77,14.05,14.29,14.29,3906000
GME,1/19/2024,14.36,14.6,14.09,14.51,14.51,2391500
GME,1/22/2024,14.5,15.16,14.3,14.9,14.9,3606500
GME,1/23/2024,15,15.02,14.05,14.18,14.18,3495300
GME,1/24/2024,14.28,14.38,13.82,13.95,13.95,2513800
GME,1/25/2024,13.97,14.54,13.92,14.52,14.52,3635900
GME,1/26/2024,14.44,14.72,14.41,14.49,14.49,2288800
GME,1/29/2024,14.5,14.81,14.32,14.78,14.78,2164200
GME,1/30/2024,14.54,14.82,14.51,14.55,14.55,1652600
GME,1/31/2024,14.4,14.83,14.22,14.23,14.23,2684700
GME,2/1/2024,14.34,14.42,14.02,14.42,14.42,2220200
GME,2/2/2024,14.15,14.92,14.08,14.73,14.73,2922600
GME,2/5/2024,14.5,14.61,13.4,13.46,13.46,4361500
GME,2/6/2024,13.6,14.3,13.43,14.1,14.1,3047800
GME,2/7/2024,14.12,14.3,13.78,14.07,14.07,1947800
GME,2/8/2024,14.01,14.44,13.89,14.35,14.35,1838300
GME,2/9/2024,14.37,15.23,14.3,14.66,14.66,3575300
GME,2/12/2024,14.58,15.22,14.53,14.73,14.73,2750100
GME,2/13/2024,14.2,14.4,13.77,14.17,14.17,3788700
GME,2/14/2024,14.33,14.43,14.05,14.41,14.41,2504400
GME,2/15/2024,14.54,14.75,14.23,14.51,14.51,2400500
GME,2/16/2024,14.46,14.53,14.1,14.12,14.12,2297200
GME,2/20/2024,13.96,14.05,13.16,13.49,13.49,3784500
GME,2/21/2024,13.46,13.67,13.23,13.41,13.41,1731300
GME,2/22/2024,13.5,13.65,13.34,13.36,13.36,1817800
GME,2/23/2024,13.3,13.79,13.12,13.51,13.51,2319700
GME,2/26/2024,13.31,13.75,13.2,13.68,13.68,2278600
GME,2/27/2024,13.7,14.29,13.68,14.21,14.21,2795500
GME,2/28/2024,14,14.47,13.89,14.24,14.24,2440700
GME,2/29/2024,14.34,14.65,14.03,14.27,14.27,2638700
GME,3/1/2024,14.18,15.09,13.99,14.95,14.95,4890900
GME,3/4/2024,14.93,15.59,14.83,15.22,15.22,4367600
GME,3/5/2024,14.95,15.28,14.78,15,15,3152700
GME,3/6/2024,15.22,15.89,14.94,15.26,15.26,3818100
GME,3/7/2024,15.26,15.51,15.05,15.26,15.26,2111900
GME,3/8/2024,15.4,15.63,14.52,14.65,14.65,3165700
GME,3/11/2024,14.64,14.94,14.36,14.43,14.43,2111900
GME,3/12/2024,14.35,14.84,14.09,14.72,14.72,2382600
GME,3/13/2024,14.69,15.2,14.62,14.87,14.87,2898100
GME,3/14/2024,14.8,15.02,14.4,14.63,14.63,2534200
GME,3/15/2024,14.55,14.83,14.21,14.24,14.24,4476500
GME,3/18/2024,14.25,14.3,13.9,13.91,13.91,3490800
GME,3/19/2024,13.76,13.89,13.3,13.41,13.41,3894700
GME,3/20/2024,13.47,13.79,13.21,13.48,13.48,3921300
